job_title,role_clean,seniority_clean,company_name_clean,company_rating,industry,sector,city,state,company_size_clean,company_founded_year,company_revenue,min_salary_usd,max_salary_usd,avg_salary_usd,salary_outlier,description_length,skill_Python,skill_SQL,skill_Excel,skill_Tableau,skill_Power_BI,skill_Spark,skill_Hadoop,skill_AWS,skill_Azure,skill_GCP,skill_Machine_Learning,skill_Deep_Learning,skill_TensorFlow,skill_PyTorch,skill_Java,skill_SAS,skill_Scala,skill_NLP,skill_Statistics,skill_Docker,skill_Kubernetes,skill_Git,skill_NoSQL,skill_ETL,skill_A/B_Testing,skill_R
Data Scientist,Data Scientist,Not specified,Tecolote Research,3.8,Aerospace & Defense,Aerospace & Defense,Albuquerque,NM,501 to 1000 employees,1973.0,$50 to $100 million (USD),53000,91000,72000.0,False,2536,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Healthcare Data Scientist,Data Scientist,Not specified,University of Maryland Medical System,3.4,Health Care Services & Hospitals,Health Care,Linthicum,MD,10000+ employees,1984.0,$2 to $5 billion (USD),63000,112000,87500.0,False,4783,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,KnowBe4,4.8,Security Services,Business Services,Clearwater,FL,501 to 1000 employees,2010.0,$100 to $500 million (USD),80000,90000,85000.0,False,3461,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,PNNL,3.8,Energy,"Oil, Gas, Energy & Utilities",Richland,WA,1001 to 5000 employees,1965.0,$500 million to $1 billion (USD),56000,97000,76500.0,False,3883,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,Affinity Solutions,2.9,Advertising & Marketing,Business Services,New York,NY,51 to 200 employees,1998.0,Unknown / Non-Applicable,86000,143000,114500.0,False,2728,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,CyrusOne,3.4,Real Estate,Real Estate,Dallas,TX,201 to 500 employees,2000.0,$1 to $2 billion (USD),71000,119000,95000.0,False,3747,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Data Scientist,Data Scientist,Not specified,ClearOne Advantage,4.1,Banks & Credit Unions,Finance,Baltimore,MD,501 to 1000 employees,2008.0,Unknown / Non-Applicable,54000,93000,73500.0,False,1786,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,Logic20/20,3.8,Consulting,Business Services,San Jose,CA,201 to 500 employees,2005.0,$25 to $50 million (USD),86000,142000,114000.0,False,3804,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Research Scientist,Other/Unspecified,Not specified,Rochester Regional Health,3.3,Health Care Services & Hospitals,Health Care,Rochester,NY,10000+ employees,2014.0,$500 million to $1 billion (USD),38000,84000,61000.0,False,1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Data Scientist,Not specified,<intent>,4.6,Internet,Information Technology,New York,NY,51 to 200 employees,2009.0,$100 to $500 million (USD),120000,160000,140000.0,False,4574,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
